"Time (s) 2.0V","Angle (rad) 2.0V","Angular Velocity (rad/s) 2.0V","Angular Acceleration (rad/s²) 2.0V","Position (m) 2.0V","Velocity (m/s) 2.0V","Acceleration (m/s²) 2.0V","Time (s) 1.5V","Angle (rad) 1.5V","Angular Velocity (rad/s) 1.5V","Angular Acceleration (rad/s²) 1.5V","Position (m) 1.5V","Velocity (m/s) 1.5V","Acceleration (m/s²) 1.5V","Time (s) 1.0V","Angle (rad) 1.0V","Angular Velocity (rad/s) 1.0V","Angular Acceleration (rad/s²) 1.0V","Position (m) 1.0V","Velocity (m/s) 1.0V","Acceleration (m/s²) 1.0V","Time (s) 2.5V","Angle (rad) 2.5V","Angular Velocity (rad/s) 2.5V","Angular Acceleration (rad/s²) 2.5V","Position (m) 2.5V","Velocity (m/s) 2.5V","Acceleration (m/s²) 2.5V","Time (s) 3.0V","Angle (rad) 3.0V","Angular Velocity (rad/s) 3.0V","Angular Acceleration (rad/s²) 3.0V","Position (m) 3.0V","Velocity (m/s) 3.0V","Acceleration (m/s²) 3.0V","Time (s) 4.0V","Angle (rad) 4.0V","Angular Velocity (rad/s) 4.0V","Angular Acceleration (rad/s²) 4.0V","Position (m) 4.0V","Velocity (m/s) 4.0V","Acceleration (m/s²) 4.0V","Time (s) 4.5V","Angle (rad) 4.5V","Angular Velocity (rad/s) 4.5V","Angular Acceleration (rad/s²) 4.5V","Position (m) 4.5V","Velocity (m/s) 4.5V","Acceleration (m/s²) 4.5V","Time (s) 5.0V","Angle (rad) 5.0V","Angular Velocity (rad/s) 5.0V","Angular Acceleration (rad/s²) 5.0V","Position (m) 5.0V","Velocity (m/s) 5.0V","Acceleration (m/s²) 5.0V","Time (s) 5.5V","Angle (rad) 5.5V","Angular Velocity (rad/s) 5.5V","Angular Acceleration (rad/s²) 5.5V","Position (m) 5.5V","Velocity (m/s) 5.5V","Acceleration (m/s²) 5.5V","Time (s) 6.0V","Angle (rad) 6.0V","Angular Velocity (rad/s) 6.0V","Angular Acceleration (rad/s²) 6.0V","Position (m) 6.0V","Velocity (m/s) 6.0V","Acceleration (m/s²) 6.0V","Time (s) 6.5V","Angle (rad) 6.5V","Angular Velocity (rad/s) 6.5V","Angular Acceleration (rad/s²) 6.5V","Position (m) 6.5V","Velocity (m/s) 6.5V","Acceleration (m/s²) 6.5V","Time (s) 3.5V","Angle (rad) 3.5V","Angular Velocity (rad/s) 3.5V","Angular Acceleration (rad/s²) 3.5V","Position (m) 3.5V","Velocity (m/s) 3.5V","Acceleration (m/s²) 3.5V"
63.900,-0.646,3.801,26.093,-0.0154,0.091,0.623,63.900,-0.192,0.220,0.698,-0.0046,0.005,0.017,63.900,-0.592,0.058,12.828,-0.0141,0.001,0.306,,,,,,,,63.900,0.779,-14.362,-19.652,0.0186,-0.343,-0.469,63.900,1.981,-6.540,-53.809,0.0473,-0.156,-1.285,63.900,-1.828,-10.158,16.895,-0.0436,-0.243,0.403,63.900,-5.251,-0.408,18.483,-0.1254,-0.010,0.441,63.900,0.397,-6.571,-35.692,0.0095,-0.157,-0.852,63.900,-0.240,-7.587,3.019,-0.0057,-0.181,0.072,63.900,0.366,-3.136,-23.457,0.0087,-0.075,-0.560,63.900,1.164,-8.121,-46.967,0.0278,-0.194,-1.121
63.950,-0.413,4.979,17.296,-0.0099,0.119,0.413,63.950,-0.179,0.230,-0.279,-0.0043,0.006,-0.007,63.950,-0.572,0.712,11.903,-0.0136,0.017,0.284,,,,,,,,63.950,0.006,-14.692,2.932,1.5000E-4,-0.351,0.070,63.950,1.571,-9.053,-39.532,0.0375,-0.216,-0.944,63.950,-2.300,-9.414,8.988,-0.0549,-0.225,0.215,63.950,-5.246,0.602,18.727,-0.1252,0.014,0.447,63.950,0.003,-7.990,-17.593,7.5000E-5,-0.191,-0.420,63.950,-0.628,-6.938,18.815,-0.0150,-0.166,0.449,63.950,0.168,-4.173,-14.242,0.0040,-0.100,-0.340,63.950,0.674,-10.100,-27.175,0.0161,-0.241,-0.649
64.000,-0.130,5.629,5.899,-0.0031,0.134,0.141,64.000,-0.167,0.188,-1.169,-0.0040,0.004,-0.028,64.000,-0.518,1.288,9.809,-0.0124,0.031,0.234,,,,,,,,64.000,-0.737,-13.823,19.443,-0.0176,-0.330,0.464,64.000,1.045,-10.681,-20.612,0.0249,-0.255,-0.492,64.000,-2.747,-9.221,-0.367,-0.0656,-0.220,-0.009,64.000,-5.188,1.555,16.441,-0.1239,0.037,0.393,64.000,-0.438,-8.372,1.588,-0.0105,-0.200,0.038,64.000,-0.960,-5.561,30.875,-0.0229,-0.133,0.737,64.000,-0.072,-4.639,-2.827,-0.0017,-0.111,-0.067,64.000,0.112,-10.907,-5.847,0.0027,-0.260,-0.140
64.050,0.173,5.623,-6.912,0.0041,0.134,-0.165,64.050,-0.159,0.105,-1.850,-0.0038,0.002,-0.044,64.050,-0.438,1.728,6.702,-0.0105,0.041,0.160,,,,,,,,64.050,-1.396,-12.331,25.552,-0.0333,-0.294,0.610,64.050,0.462,-11.189,-0.035,0.0110,-0.267,-8.333E-4,64.050,-3.204,-9.535,-7.453,-0.0765,-0.228,-0.178,64.050,-5.085,2.320,12.078,-0.1214,0.055,0.288,64.050,-0.870,-7.749,18.710,-0.0208,-0.185,0.447,64.050,-1.200,-3.697,38.642,-0.0287,-0.088,0.922,64.050,-0.319,-4.466,9.006,-0.0076,-0.107,0.215,64.050,-0.459,-10.571,12.619,-0.0110,-0.252,0.301
64.100,0.457,4.927,-19.373,0.0109,0.118,-0.462,64.100,-0.156,-0.005,-2.286,-0.0037,-1.250E-4,-0.055,64.100,-0.339,1.984,2.845,-0.0081,0.047,0.068,,,,,,,,64.100,-1.965,-10.891,21.729,-0.0469,-0.260,0.519,64.100,-0.115,-10.587,17.959,-0.0027,-0.253,0.429,64.100,-3.690,-10.147,-9.268,-0.0881,-0.242,-0.221,64.100,-4.946,2.806,6.423,-0.1181,0.067,0.153,64.100,-1.241,-6.336,31.573,-0.0296,-0.151,0.754,64.100,-1.337,-1.566,42.551,-0.0319,-0.037,1.016,64.100,-0.539,-3.691,19.618,-0.0129,-0.088,0.468,64.100,-0.975,-9.404,25.011,-0.0233,-0.224,0.597
64.150,0.686,3.608,-29.671,0.0164,0.086,-0.708,64.150,-0.159,-0.131,-2.461,-0.0038,-0.003,-0.059,64.150,-0.232,2.026,-1.396,-0.0055,0.048,-0.033,,,,,,,,64.150,-2.465,-9.959,12.025,-0.0588,-0.238,0.287,64.150,-0.627,-9.158,29.985,-0.0150,-0.219,0.716,64.150,-4.218,-10.723,-3.718,-0.1007,-0.256,-0.089,64.150,-4.793,2.974,0.349,-0.1144,0.071,0.008,64.150,-1.519,-4.414,39.584,-0.0363,-0.105,0.945,64.150,-1.360,0.660,43.197,-0.0325,0.016,1.031,64.150,-0.705,-2.419,27.768,-0.0168,-0.058,0.663,64.150,-1.411,-7.817,30.700,-0.0337,-0.187,0.733
64.200,0.834,1.833,-36.425,0.0199,0.044,-0.870,64.200,-0.168,-0.262,-2.356,-0.0040,-0.006,-0.056,64.200,-0.129,1.843,-5.585,-0.0031,0.044,-0.133,,,,,,,,64.200,-2.936,-9.676,1.449,-0.0701,-0.231,0.035,64.200,-1.043,-7.325,35.203,-0.0249,-0.175,0.840,64.200,-4.778,-10.812,9.512,-0.1141,-0.258,0.227,64.200,-4.639,2.827,-5.411,-0.1107,0.068,-0.129,64.200,-1.690,-2.236,43.424,-0.0403,-0.053,1.037,64.200,-1.269,2.848,40.719,-0.0303,0.068,0.972,64.200,-0.793,-0.801,32.603,-0.0189,-0.019,0.778,64.200,-1.758,-6.158,31.294,-0.0420,-0.147,0.747
64.250,0.878,-0.183,-38.851,0.0210,-0.004,-0.928,64.250,-0.185,-0.377,-1.972,-0.0044,-0.009,-0.047,64.250,-0.041,1.450,-9.233,-9.7500E-4,0.035,-0.220,,,,,,,,64.250,-3.413,-9.938,-5.812,-0.0815,-0.237,-0.139,64.250,-1.357,-5.456,35.203,-0.0324,-0.130,0.840,64.250,-5.333,-9.985,28.170,-0.1273,-0.238,0.673,64.250,-4.500,2.403,-10.367,-0.1074,0.057,-0.248,64.250,-1.745,0.026,44.105,-0.0417,6.250E-4,1.053,64.250,-1.070,4.849,34.662,-0.0255,0.116,0.828,64.250,-0.790,0.974,33.563,-0.0189,0.023,0.801,64.250,-2.022,-4.608,29.234,-0.0483,-0.110,0.698
64.300,0.815,-2.210,-36.722,0.0195,-0.053,-0.877,64.300,-0.207,-0.466,-1.361,-0.0050,-0.011,-0.032,64.300,0.022,0.885,-11.886,5.2500E-4,0.021,-0.284,,,,,,,,64.300,-3.919,-10.477,-6.807,-0.0936,-0.250,-0.162,64.300,-1.582,-3.728,32.446,-0.0378,-0.089,0.775,64.300,-5.818,-8.032,47.909,-0.1389,-0.192,1.144,64.300,-4.390,1.754,-14.242,-0.1048,0.042,-0.340,64.300,-1.685,2.251,42.167,-0.0402,0.054,1.007,64.300,-0.773,6.461,24.400,-0.0185,0.154,0.582,64.300,-0.694,2.697,30.316,-0.0166,0.064,0.724,64.300,-2.212,-3.225,26.599,-0.0528,-0.077,0.635
64.350,0.650,-4.006,-30.264,0.0155,-0.096,-0.723,64.350,-0.232,-0.518,-0.593,-0.0056,-0.012,-0.014,64.350,0.052,0.215,-13.177,0.0012,0.005,-0.315,,,,,,,,64.350,-4.463,-10.901,-0.070,-0.1065,-0.260,-0.002,64.350,-1.725,-2.194,28.885,-0.0412,-0.052,0.690,64.350,-6.173,-5.053,64.036,-0.1474,-0.121,1.529,64.350,-4.320,0.937,-16.912,-0.1031,0.022,-0.404,64.350,-1.516,4.330,37.350,-0.0362,0.103,0.892,64.350,-0.402,7.446,9.966,-0.0096,0.178,0.238,64.350,-0.512,4.152,22.829,-0.0122,0.099,0.545,64.350,-2.339,-1.979,24.627,-0.0558,-0.047,0.588
64.400,0.399,-5.362,-20.298,0.0095,-0.128,-0.485,64.400,-0.261,-0.529,0.244,-0.0062,-0.013,0.006,64.400,0.044,-0.487,-12.915,0.0011,-0.012,-0.308,,,,,,,,64.400,-5.030,-10.755,13.701,-0.1201,-0.257,0.327,64.400,-1.794,-0.853,25.726,-0.0428,-0.020,0.614,64.400,-6.348,-1.372,73.042,-0.1515,-0.033,1.744,64.400,-4.293,0.021,-18.396,-0.1025,5.000E-4,-0.439,64.400,-1.244,6.110,28.868,-0.0297,0.146,0.689,64.400,0.002,7.571,-7.330,3.7500E-5,0.181,-0.175,64.400,-0.262,5.116,11.589,-0.0063,0.122,0.277,64.400,-2.408,-0.806,23.806,-0.0575,-0.019,0.568
64.450,0.093,-6.110,-8.290,0.0022,-0.146,-0.198,64.450,-0.287,-0.492,1.030,-0.0069,-0.012,0.025,64.450,0.002,-1.131,-11.135,3.7500E-5,-0.027,-0.266,,,,,,,,64.450,-5.573,-9.681,31.381,-0.1331,-0.231,0.749,64.450,-1.803,0.335,23.719,-0.0430,0.008,0.566,64.450,-6.319,2.566,73.129,-0.1509,0.061,1.746,64.450,-4.317,-0.937,-18.710,-0.1030,-0.022,-0.447,64.450,-0.888,7.372,16.232,-0.0212,0.176,0.387,64.450,0.390,6.728,-24.906,0.0093,0.161,-0.595,64.450,0.024,5.404,-2.147,5.6250E-4,0.129,-0.051,64.450,-2.419,0.361,24.208,-0.0578,0.009,0.578
64.500,-0.236,-6.194,3.892,-0.0056,-0.148,0.093,64.500,-0.311,-0.419,1.693,-0.0074,-0.010,0.040,64.500,-0.074,-1.644,-8.081,-0.0018,-0.039,-0.193,,,,,,,,64.500,-6.035,-7.587,48.573,-0.1441,-0.181,1.160,64.500,-1.759,1.461,23.091,-0.0420,0.035,0.551,64.500,-6.084,6.262,64.246,-0.1452,0.149,1.534,64.500,-4.387,-1.890,-17.715,-0.1047,-0.045,-0.423,64.500,-0.481,7.870,0.087,-0.0115,0.188,0.002,64.500,0.707,4.979,-39.671,0.0169,0.119,-0.947,64.500,0.305,4.922,-16.371,0.0073,0.117,-0.391,64.500,-2.373,1.576,25.848,-0.0567,0.038,0.617
64.550,-0.548,-5.660,14.486,-0.0131,-0.135,0.346,64.550,-0.330,-0.319,2.199,-0.0079,-0.008,0.053,64.550,-0.170,-1.969,-4.206,-0.0040,-0.047,-0.100,,,,,,,,64.550,-6.362,-4.655,61.453,-0.1519,-0.111,1.467,64.550,-1.659,2.608,23.492,-0.0396,0.062,0.561,64.550,-5.667,9.252,48.450,-0.1353,0.221,1.157,64.550,-4.507,-2.765,-15.080,-0.1076,-0.066,-0.360,64.550,-0.068,7.440,-17.575,-0.0016,0.178,-0.420,64.550,0.911,2.566,-49.096,0.0217,0.061,-1.172,64.550,0.542,3.702,-28.746,0.0129,0.088,-0.686,64.550,-2.265,2.901,28.711,-0.0541,0.069,0.685
64.600,-0.818,-4.644,22.393,-0.0195,-0.111,0.535,64.600,-0.344,-0.194,2.513,-0.0082,-0.005,0.060,64.600,-0.278,-2.073,-0.035,-0.0066,-0.049,-8.333E-4,,,,,,,,64.600,-6.517,-1.210,67.771,-0.1556,-0.029,1.618,64.600,-1.500,3.801,24.260,-0.0358,0.091,0.579,64.600,-5.121,11.215,30.020,-0.1222,0.268,0.717,64.600,-4.670,-3.466,-10.507,-0.1115,-0.083,-0.251,64.600,0.297,6.069,-33.929,0.0071,0.145,-0.810,64.600,0.974,-0.168,-51.767,0.0232,-0.004,-1.236,64.600,0.696,1.906,-37.106,0.0166,0.045,-0.886,64.600,-2.089,4.409,32.411,-0.0499,0.105,0.774
64.650,-1.023,-3.314,27.332,-0.0244,-0.079,0.653,64.650,-0.350,-0.058,2.548,-0.0084,-0.001,0.061,64.650,-0.385,-1.963,3.944,-0.0092,-0.047,0.094,,,,,,,,64.650,-6.487,2.377,66.584,-0.1549,0.057,1.590,64.650,-1.280,5.042,24.557,-0.0306,0.120,0.586,64.650,-4.507,12.148,14.382,-0.1076,0.290,0.343,64.650,-4.863,-3.885,-3.997,-0.1161,-0.093,-0.095,64.650,0.567,3.901,-46.216,0.0135,0.093,-1.103,64.650,0.892,-2.854,-47.386,0.0213,-0.068,-1.131,64.650,0.743,-0.204,-39.986,0.0177,-0.005,-0.955,64.650,-1.833,6.142,35.709,-0.0438,0.147,0.853
64.700,-1.155,-1.822,29.688,-0.0276,-0.044,0.709,64.700,-0.349,0.073,2.286,-0.0083,0.002,0.055,64.700,-0.481,-1.660,7.348,-0.0115,-0.040,0.175,,,,,,,,64.700,-6.272,5.712,57.875,-0.1497,0.136,1.382,64.700,-0.997,6.304,23.195,-0.0238,0.151,0.554,64.700,-3.880,12.373,6.021,-0.0926,0.295,0.144,64.700,-5.071,-3.922,4.067,-0.1210,-0.094,0.097,64.700,0.705,1.230,-52.412,0.0168,0.029,-1.251,64.700,0.675,-5.131,-36.582,0.0161,-0.123,-0.873,64.700,0.675,-2.304,-36.879,0.0161,-0.055,-0.880,64.700,-1.483,8.058,36.285,-0.0354,0.192,0.866
64.750,-1.206,-0.283,30.020,-0.0288,-0.007,0.717,64.750,-0.342,0.178,1.815,-0.0082,0.004,0.043,64.750,-0.556,-1.199,9.896,-0.0133,-0.029,0.236,,,,,,,,64.750,-5.894,8.399,42.953,-0.1407,0.200,1.025,64.750,-0.649,7.472,18.640,-0.0155,0.178,0.445,64.750,-3.264,12.409,6.301,-0.0779,0.296,0.150,64.750,-5.272,-3.508,12.828,-0.1258,-0.084,0.306,64.750,0.694,-1.587,-51.540,0.0166,-0.038,-1.230,64.750,0.353,-6.686,-20.996,0.0084,-0.160,-0.501,64.750,0.501,-4.084,-28.309,0.0120,-0.097,-0.676,64.750,-1.029,9.964,31.207,-0.0246,0.238,0.745
64.800,-1.181,1.230,28.676,-0.0282,0.029,0.685,64.800,-0.330,0.257,1.204,-0.0079,0.006,0.029,64.800,-0.605,-0.634,11.397,-0.0144,-0.015,0.272,,,,,,,,64.800,-5.397,10.132,24.923,-0.1289,0.242,0.595,64.800,-0.240,8.330,9.791,-0.0057,0.199,0.234,64.800,-2.652,12.760,12.531,-0.0633,0.305,0.299,64.800,-5.438,-2.623,20.996,-0.1298,-0.063,0.501,64.800,0.539,-4.168,-43.721,0.0129,-0.099,-1.044,64.800,-0.027,-7.309,-3.264,-6.3750E-4,-0.174,-0.078,64.800,0.247,-5.278,-15.725,0.0059,-0.126,-0.375,64.800,-0.476,11.472,18.361,-0.0114,0.274,0.438
64.850,-1.081,2.639,25.639,-0.0258,0.063,0.612,64.850,-0.316,0.304,0.506,-0.0075,0.007,0.012,64.850,-0.620,-0.021,11.798,-0.0148,-5.000E-4,0.282,,,,,,,,64.850,-4.843,10.844,8.238,-0.1156,0.259,0.197,64.850,0.204,8.608,-3.072,0.0049,0.205,-0.073,64.850,-2.012,13.650,18.605,-0.0480,0.326,0.444,64.850,-5.548,-1.335,27.122,-0.1324,-0.032,0.647,64.850,0.258,-6.163,-30.177,0.0062,-0.147,-0.720,64.850,-0.412,-6.974,13.596,-0.0098,-0.166,0.325,64.850,-0.053,-5.723,-1.222,-0.0013,-0.137,-0.029,64.850,0.149,12.090,-1.710,0.0036,0.289,-0.041
64.900,-0.911,3.859,20.612,-0.0217,0.092,0.492,64.900,-0.298,0.309,-0.209,-0.0071,0.007,-0.005,64.900,-0.606,0.581,11.153,-0.0145,0.014,0.266,,,,,,,,64.900,-4.284,10.744,-2.915,-0.1023,0.256,-0.070,64.900,0.649,8.105,-18.047,0.0155,0.193,-0.431,64.900,-1.304,14.891,17.418,-0.0311,0.355,0.416,64.900,-5.581,0.204,30.002,-0.1332,0.005,0.716,64.900,-0.108,-7.309,-13.195,-0.0026,-0.174,-0.315,64.900,-0.752,-5.822,27.140,-0.0180,-0.139,0.648,64.900,-0.353,-5.383,12.881,-0.0084,-0.128,0.307,64.900,0.781,11.441,-25.255,0.0186,0.273,-0.603
64.950,-0.685,4.780,13.317,-0.0163,0.114,0.318,64.950,-0.283,0.278,-0.820,-0.0068,0.007,-0.020,64.950,-0.561,1.126,9.530,-0.0134,0.027,0.227,,,,,,,,64.950,-3.754,10.257,-6.283,-0.0896,0.245,-0.150,64.950,1.045,6.775,-32.254,0.0249,0.162,-0.770,64.950,-0.517,15.860,4.695,-0.0123,0.379,0.112,64.950,-5.529,1.801,29.077,-0.1320,0.043,0.694,64.950,-0.507,-7.498,4.363,-0.0121,-0.179,0.104,64.950,-1.013,-4.095,36.198,-0.0242,-0.098,0.864,64.950,-0.616,-4.346,24.592,-0.0147,-0.104,0.587,64.950,1.341,9.482,-47.089,0.0320,0.226,-1.124
65.000,-0.419,5.273,3.822,-0.0100,0.126,0.091,65.000,-0.270,0.220,-1.274,-0.0065,0.005,-0.030,65.000,-0.490,1.566,6.999,-0.0117,0.037,0.167,,,,,,,,65.000,-3.263,9.844,-2.199,-0.0779,0.235,-0.053,65.000,1.351,4.749,-43.022,0.0323,0.113,-1.027,65.000,0.320,15.776,-18.064,0.0077,0.377,-0.431,65.000,-5.396,3.241,24.574,-0.1288,0.077,0.587,65.000,-0.889,-6.791,19.844,-0.0212,-0.162,0.474,65.000,-1.172,-2.047,40.771,-0.0280,-0.049,0.973,65.000,-0.806,-2.791,32.620,-0.0192,-0.067,0.779,65.000,1.764,6.503,-63.321,0.0421,0.155,-1.512
65.050,-0.138,5.220,-7.103,-0.0033,0.125,-0.170,65.050,-0.261,0.147,-1.571,-0.0062,0.003,-0.038,65.050,-0.399,1.854,3.665,-0.0095,0.044,0.087,,,,,,,,65.050,-2.787,9.859,6.912,-0.0665,0.235,0.165,65.050,1.535,2.288,-48.677,0.0366,0.055,-1.162,65.050,1.122,14.174,-44.052,0.0268,0.338,-1.052,65.050,-5.193,4.351,17.453,-0.1240,0.104,0.417,65.050,-1.211,-5.372,31.556,-0.0289,-0.128,0.753,65.050,-1.221,0.110,41.434,-0.0291,0.003,0.989,65.050,-0.905,-0.937,36.460,-0.0216,-0.022,0.870,65.050,2.011,2.901,-72.658,0.0480,0.069,-1.735
65.100,0.124,4.566,-18.012,0.0030,0.109,-0.430,65.100,-0.254,0.058,-1.693,-0.0061,0.001,-0.040,65.100,-0.298,1.953,-0.209,-0.0071,0.047,-0.005,,,,,,,,65.100,-2.298,10.482,17.436,-0.0549,0.250,0.416,65.100,1.583,-0.314,-48.730,0.0378,-0.007,-1.163,65.100,1.791,11.158,-65.520,0.0428,0.266,-1.564,65.100,-4.945,5.027,9.163,-0.1180,0.120,0.219,65.100,-1.442,-3.482,38.991,-0.0344,-0.083,0.931,65.100,-1.159,2.204,38.659,-0.0277,0.053,0.923,65.100,-0.902,0.995,36.111,-0.0215,0.024,0.862,65.100,2.062,-0.974,-75.363,0.0492,-0.023,-1.799
65.150,0.338,3.356,-27.227,0.0081,0.080,-0.650,65.150,-0.254,-0.031,-1.588,-0.0061,-7.500E-4,-0.038,65.150,-0.196,1.838,-4.206,-0.0047,0.044,-0.100,,,,,,,,65.150,-1.761,11.692,24.906,-0.0420,0.279,0.595,65.150,1.499,-2.765,-43.476,0.0358,-0.066,-1.038,65.150,2.265,7.262,-78.453,0.0541,0.173,-1.873,65.150,-4.675,5.252,1.187,-0.1116,0.125,0.028,65.150,-1.566,-1.340,42.516,-0.0374,-0.032,1.015,65.150,-0.993,4.084,32.481,-0.0237,0.097,0.775,65.150,-0.801,2.806,31.713,-0.0191,0.067,0.757,65.150,1.913,-4.838,-71.489,0.0457,-0.115,-1.707
65.200,0.474,1.733,-33.318,0.0113,0.041,-0.795,65.200,-0.259,-0.110,-1.257,-0.0062,-0.003,-0.030,65.200,-0.107,1.518,-7.802,-0.0025,0.036,-0.186,,,,,,,,65.200,-1.144,13.242,24.627,-0.0273,0.316,0.588,65.200,1.293,-4.817,-33.615,0.0309,-0.115,-0.802,65.200,2.524,3.032,-83.566,0.0603,0.072,-1.995,65.200,-4.406,5.089,-5.341,-0.1052,0.122,-0.127,65.200,-1.579,0.874,42.708,-0.0377,0.021,1.020,65.200,-0.738,5.576,22.742,-0.0176,0.133,0.543,65.200,-0.611,4.299,23.440,-0.0146,0.103,0.560,65.200,1.569,-8.367,-60.476,0.0375,-0.200,-1.444
65.250,0.518,-0.115,-35.360,0.0124,-0.003,-0.844,65.250,-0.265,-0.162,-0.768,-0.0063,-0.004,-0.018,65.250,-0.039,1.026,-10.524,-9.3750E-4,0.024,-0.251,,,,,,,,65.250,-0.434,14.572,13.718,-0.0104,0.348,0.327,65.250,0.996,-6.252,-20.263,0.0238,-0.149,-0.484,65.250,2.567,-1.236,-83.444,0.0613,-0.029,-1.992,65.250,-4.156,4.644,-9.896,-0.0992,0.111,-0.236,65.250,-1.477,3.026,39.689,-0.0352,0.072,0.948,65.250,-0.416,6.482,9.634,-0.0099,0.155,0.230,65.250,-0.353,5.273,11.816,-0.0084,0.126,0.282,65.250,1.052,-11.153,-42.586,0.0251,-0.266,-1.017
65.300,0.463,-1.958,-33.039,0.0111,-0.047,-0.789,65.300,-0.276,-0.188,-0.175,-0.0066,-0.004,-0.004,65.300,2.803E-15,0.424,-12.060,2.3852E-18,0.010,-0.288,,,,,,,,65.300,0.347,14.991,-6.318,0.0083,0.358,-0.151,65.300,0.641,-6.912,-5.114,0.0153,-0.165,-0.122,65.300,2.399,-5.414,-78.976,0.0573,-0.129,-1.885,65.300,-3.936,4.032,-12.549,-0.0940,0.096,-0.300,65.300,-1.269,4.964,33.022,-0.0303,0.118,0.788,65.300,-0.063,6.629,-5.707,-0.0015,0.158,-0.136,65.300,-0.060,5.561,-1.937,-0.0014,0.133,-0.046,65.300,0.413,-12.802,-20.717,0.0099,-0.306,-0.495
65.350,0.314,-3.560,-26.721,0.0075,-0.085,-0.638,65.350,-0.286,-0.183,0.454,-0.0068,-0.004,0.011,65.350,0.005,-0.225,-12.217,1.1250E-4,-0.005,-0.292,,,,,,,,65.350,1.120,14.059,-29.409,0.0267,0.336,-0.702,65.350,0.275,-6.749,9.582,0.0066,-0.161,0.229,65.350,2.020,-9.325,-68.417,0.0482,-0.223,-1.633,65.350,-3.751,3.341,-13.753,-0.0895,0.080,-0.328,65.350,-0.968,6.477,22.166,-0.0231,0.155,0.529,65.350,0.276,5.922,-21.136,0.0066,0.141,-0.505,65.350,0.229,5.089,-15.900,0.0055,0.121,-0.380,65.350,-0.276,-13.179,-0.367,-0.0066,-0.315,-0.009
65.400,0.091,-4.733,-17.488,0.0022,-0.113,-0.418,65.400,-0.295,-0.141,1.047,-0.0071,-0.003,0.025,65.400,-0.024,-0.848,-10.961,-5.6250E-4,-0.020,-0.262,,,,,,,,65.400,1.800,11.860,-48.485,0.0430,0.283,-1.157,65.400,-0.060,-5.854,21.694,-0.0014,-0.140,0.518,65.400,1.447,-12.572,-49.829,0.0345,-0.300,-1.190,65.400,-3.602,2.628,-14.050,-0.0860,0.063,-0.335,65.400,-0.598,7.330,7.365,-0.0143,0.175,0.176,65.400,0.558,4.424,-34.051,0.0133,0.106,-0.813,65.400,0.474,3.901,-27.821,0.0113,0.093,-0.664,65.400,-0.942,-12.556,12.881,-0.0225,-0.300,0.307
65.450,-0.178,-5.356,-6.842,-0.0042,-0.128,-0.163,65.450,-0.302,-0.073,1.501,-0.0072,-0.002,0.036,65.450,-0.083,-1.367,-8.430,-0.0020,-0.033,-0.201,,,,,,,,65.450,2.331,8.880,-59.812,0.0556,0.212,-1.428,65.450,-0.328,-4.435,29.932,-0.0078,-0.106,0.715,65.450,0.721,-14.603,-24.627,0.0172,-0.349,-0.588,65.450,-3.489,1.922,-13.823,-0.0833,0.046,-0.330,65.450,-0.204,7.309,-9.809,-0.0049,0.175,-0.234,65.450,0.740,2.346,-42.202,0.0177,0.056,-1.007,65.450,0.639,2.162,-35.657,0.0153,0.052,-0.851,65.450,-1.546,-11.509,16.493,-0.0369,-0.275,0.394
65.500,-0.465,-5.409,3.630,-0.0111,-0.129,0.087,65.500,-0.303,0.016,1.763,-0.0072,3.750E-4,0.042,65.500,-0.167,-1.723,-4.992,-0.0040,-0.041,-0.119,,,,,,,,65.500,2.694,5.623,-64.315,0.0643,0.134,-1.535,65.500,-0.512,-2.717,34.139,-0.0122,-0.065,0.815,65.500,-0.074,-15.085,1.274,-0.0018,-0.360,0.030,65.500,-3.410,1.236,-13.265,-0.0814,0.029,-0.317,65.500,0.167,6.341,-26.738,0.0040,0.151,-0.638,65.500,0.801,-0.010,-44.314,0.0191,-2.500E-4,-1.058,65.500,0.701,0.141,-38.083,0.0167,0.003,-0.909,65.500,-2.084,-10.608,12.008,-0.0498,-0.253,0.287
65.550,-0.737,-4.938,12.584,-0.0176,-0.118,0.300,65.550,-0.300,0.110,1.850,-0.0072,0.003,0.044,65.550,-0.262,-1.880,-1.134,-0.0063,-0.045,-0.027,,,,,,,,65.550,2.890,2.351,-65.398,0.0690,0.056,-1.561,65.550,-0.603,-0.906,34.924,-0.0144,-0.022,0.834,65.550,-0.840,-14.200,20.473,-0.0201,-0.339,0.489,65.550,-3.366,0.586,-12.444,-0.0804,0.014,-0.297,65.550,0.460,4.524,-40.614,0.0110,0.108,-0.970,65.550,0.737,-2.304,-40.178,0.0176,-0.055,-0.959,65.550,0.652,-1.848,-34.767,0.0156,-0.044,-0.830,65.550,-2.587,-10.179,3.578,-0.0618,-0.243,0.085
